ts,unix_ts,connection,source_ip,metric,endpoint,latency_ms,ok,error,mbps,time
2026-05-10T02:55:38.520380+00:00,1778381738.5204108,Verizon,,tcp_ping,google_static,21.238166999864916,True,,,2026-05-10 02:55:38.520380+00:00
2026-05-10T02:55:39.026943+00:00,1778381739.026954,Verizon,,tcp_ping,cloudflare,26.71345899989319,True,,,2026-05-10 02:55:39.026943+00:00
2026-05-10T02:55:39.520305+00:00,1778381739.5203211,Verizon,,tcp_ping,google_dns,19.550459000129194,True,,,2026-05-10 02:55:39.520305+00:00
2026-05-10T02:55:40.376456+00:00,1778381740.376466,Verizon,,tcp_ping,google_meet,48.17108299994288,True,,,2026-05-10 02:55:40.376456+00:00
2026-05-10T02:55:40.910783+00:00,1778381740.9108028,Verizon,,tcp_ping,google_static,81.28799999985858,True,,,2026-05-10 02:55:40.910783+00:00
2026-05-10T02:55:41.431781+00:00,1778381741.431796,Verizon,,tcp_ping,cloudflare,100.61254099991856,True,,,2026-05-10 02:55:41.431781+00:00
2026-05-10T02:55:41.933412+00:00,1778381741.9334311,Verizon,,tcp_ping,google_dns,100.95454199972664,True,,,2026-05-10 02:55:41.933412+00:00
2026-05-10T02:55:42.679065+00:00,1778381742.679073,Verizon,,tcp_ping,google_meet,21.69245899995076,True,,,2026-05-10 02:55:42.679065+00:00
2026-05-10T02:55:43.178704+00:00,1778381743.178723,Verizon,,tcp_ping,google_static,20.024375000048167,True,,,2026-05-10 02:55:43.178704+00:00
2026-05-10T02:55:43.695478+00:00,1778381743.6954932,Verizon,,tcp_ping,cloudflare,35.76645800012557,True,,,2026-05-10 02:55:43.695478+00:00
2026-05-10T02:55:44.184417+00:00,1778381744.184432,Verizon,,tcp_ping,google_dns,23.46137499989709,True,,,2026-05-10 02:55:44.184417+00:00
2026-05-10T02:55:45.095013+00:00,1778381745.0950232,Verizon,,tcp_ping,google_meet,96.60725000003367,True,,,2026-05-10 02:55:45.095013+00:00
2026-05-10T02:55:45.605743+00:00,1778381745.6057699,Verizon,,tcp_ping,google_static,105.64974999988408,True,,,2026-05-10 02:55:45.605743+00:00
2026-05-10T02:55:46.036670+00:00,1778381746.0366888,Verizon,,tcp_ping,cloudflare,35.94508300011512,True,,,2026-05-10 02:55:46.036670+00:00
2026-05-10T02:55:46.525993+00:00,1778381746.526021,Verizon,,tcp_ping,google_dns,23.900958000012906,True,,,2026-05-10 02:55:46.525993+00:00
2026-05-10T02:55:47.406051+00:00,1778381747.406058,Verizon,,tcp_ping,google_meet,23.478791999878013,True,,,2026-05-10 02:55:47.406051+00:00
2026-05-10T02:55:47.908686+00:00,1778381747.908712,Verizon,,tcp_ping,google_static,24.813874999836116,True,,,2026-05-10 02:55:47.908686+00:00
2026-05-10T02:55:48.417093+00:00,1778381748.417105,Verizon,,tcp_ping,cloudflare,32.05041600040204,True,,,2026-05-10 02:55:48.417093+00:00
