ts,unix_ts,connection,source_ip,metric,endpoint,latency_ms,ok,error,mbps,time
2026-05-10T02:20:07.353982+00:00,1778379607.354007,Peanut Butter,,tcp_ping,google_static,28.616707999844948,True,,,2026-05-10 02:20:07.353982+00:00
2026-05-10T02:20:07.863598+00:00,1778379607.863627,Peanut Butter,,tcp_ping,cloudflare,37.06224999996266,True,,,2026-05-10 02:20:07.863598+00:00
2026-05-10T02:20:08.360489+00:00,1778379608.3605042,Peanut Butter,,tcp_ping,google_dns,33.046959000103016,True,,,2026-05-10 02:20:08.360489+00:00
2026-05-10T02:20:09.266534+00:00,1778379609.2665422,Peanut Butter,,tcp_ping,google_meet,31.131333000075756,True,,,2026-05-10 02:20:09.266534+00:00
2026-05-10T02:20:09.767197+00:00,1778379609.767224,Peanut Butter,,tcp_ping,google_static,30.402166999920155,True,,,2026-05-10 02:20:09.767197+00:00
2026-05-10T02:20:10.269041+00:00,1778379610.2690592,Peanut Butter,,tcp_ping,cloudflare,31.970792000038273,True,,,2026-05-10 02:20:10.269041+00:00
2026-05-10T02:20:10.763706+00:00,1778379610.763732,Peanut Butter,,tcp_ping,google_dns,25.282457999992403,True,,,2026-05-10 02:20:10.763706+00:00
2026-05-10T02:20:11.680993+00:00,1778379611.681001,Peanut Butter,,tcp_ping,google_meet,77.07229100014956,True,,,2026-05-10 02:20:11.680993+00:00
2026-05-10T02:20:12.204055+00:00,1778379612.204107,Peanut Butter,,tcp_ping,google_static,98.80104199987727,True,,,2026-05-10 02:20:12.204055+00:00
2026-05-10T02:20:12.706970+00:00,1778379612.7069929,Peanut Butter,,tcp_ping,cloudflare,100.46474999990096,True,,,2026-05-10 02:20:12.706970+00:00
2026-05-10T02:20:13.232253+00:00,1778379613.2322738,Peanut Butter,,tcp_ping,google_dns,124.71233399992343,True,,,2026-05-10 02:20:13.232253+00:00
2026-05-10T02:20:14.012026+00:00,1778379614.012036,Peanut Butter,,tcp_ping,google_meet,26.964750000161075,True,,,2026-05-10 02:20:14.012026+00:00
2026-05-10T02:20:14.519684+00:00,1778379614.5197089,Peanut Butter,,tcp_ping,google_static,33.29008299988345,True,,,2026-05-10 02:20:14.519684+00:00
2026-05-10T02:20:15.020994+00:00,1778379615.0210078,Peanut Butter,,tcp_ping,cloudflare,33.5768749998806,True,,,2026-05-10 02:20:15.020994+00:00
2026-05-10T02:20:15.525715+00:00,1778379615.5257332,Peanut Butter,,tcp_ping,google_dns,34.49454200017499,True,,,2026-05-10 02:20:15.525715+00:00
